time,diode1,diode2,diode3,diode4
0.581,0,0,0,0
1.431,0,0,0,0
2.254,0,0,0,0
3.093,0,0,0,0
3.935,0,0,0,0
4.744,10,24,53,18
5.61,58,57,43,59
6.44,70,54,40,60
7.27,60,41,41,72
8.129,76,80,77,106
8.927,71,71,58,84
9.771,47,49,77,87
10.621,91,88,84,124
11.458,78,91,66,77
12.301,51,49,28,30
13.175,67,47,27,52
14.015,63,44,17,23
14.844,58,87,65,61
15.687,46,70,57,52
16.554,56,82,64,54
17.378,52,71,63,64
18.22,37,70,72,55
19.074,83,60,31,53
19.921,37,66,59,43
20.772,81,57,32,60
21.617,63,63,55,72
22.468,55,52,46,63
23.33,45,50,51,59
24.187,77,46,30,63
25.026,47,60,56,56
25.886,56,61,48,56
26.798,70,45,26,50
27.658,79,51,30,58
28.508,56,57,45,57
29.357,58,53,40,59
30.237,68,43,28,56
31.116,71,37,17,39
31.986,61,46,30,49
32.842,51,46,18,21
33.765,15,33,15,12
34.647,29,47,31,25
35.531,42,57,27,23
36.496,41,53,26,20
37.372,5,24,44,19
38.27,33,56,62,35
39.177,30,50,73,45
40.061,64,56,37,48
40.922,87,43,21,58
41.796,95,70,31,54
42.702,93,48,35,81
43.577,98,58,41,88
44.462,95,57,41,79
45.35,96,46,28,76
46.254,91,74,40,75
47.166,88,58,32,69
48.065,89,58,31,61
48.975,99,60,31,65
49.904,76,72,43,63
50.846,34,64,62,46
51.77,76,55,31,59
52.684,68,59,42,66
53.602,70,52,30,56
54.5,76,46,24,50
55.459,75,39,21,49
56.395,72,37,18,45
57.341,43,61,43,43
58.254,19,42,23,8
59.186,22,42,20,9
60.13,15,39,45,16
61.097,37,51,27,23
62.064,41,53,27,22
63.035,52,58,36,38
63.993,51,50,23,29
64.924,56,61,37,38
65.856,54,59,34,33
66.836,50,65,37,35
67.785,51,53,36,41
68.771,67,65,31,37
69.707,73,63,35,49
70.68,70,64,33,44
71.641,73,58,29,41
72.644,71,54,26,38
73.633,60,57,28,39
74.635,65,58,26,36
75.611,69,52,24,34
76.591,66,50,23,32
77.579,52,40,24,38
78.568,57,46,23,31
79.557,58,53,30,41
80.555,66,36,24,50
81.581,62,31,27,61
82.585,96,58,43,99
83.571,124,72,49,121
84.587,122,76,51,127
85.565,118,76,50,126
86.574,114,98,69,133
87.572,34,81,126,57
88.579,25,72,116,56
89.597,30,81,104,45
90.607,31,91,77,39
